Freq.	Vvf2
1.00000000000000e+006	7.88747079284694e+000  -4.88658800617472e+001
1.25892541179417e+006	6.93092360910826e+000  -5.81367606206147e+001
1.58489319246112e+006	5.69659312720366e+000  -6.80601334395635e+001
1.99526231496889e+006	4.16995759412409e+000  -7.83869918701530e+001
2.51188643150959e+006	2.34802684900489e+000  -8.89028040723516e+001
3.16227766016839e+006	2.31327010192828e-001  -9.94354057282622e+001
3.98107170553499e+006	-2.18060161990137e+000  -1.09817695480912e+002
5.01187233627275e+006	-4.88615101854566e+000  -1.19845140377049e+002
6.30957344480196e+006	-7.87377333838607e+000  -1.29272631590394e+002
7.94328234724285e+006	-1.11164209044135e+001  -1.37860529938483e+002
1.00000000000000e+007	-1.45733286222475e+001  -1.45436598506192e+002
1.25892541179417e+007	-1.81977398916915e+001  -1.51931137538957e+002
1.58489319246112e+007	-2.19452732957852e+001  -1.57371318668630e+002
1.99526231496889e+007	-2.57790704835438e+001  -1.61850432494449e+002
2.51188643150959e+007	-2.96712381000687e+001  -1.65493751753858e+002
3.16227766016839e+007	-3.36019601950651e+001  -1.68433012657000e+002
3.98107170553499e+007	-3.75577390598429e+001  -1.70791580003137e+002
5.01187233627275e+007	-4.15296302942167e+001  -1.72677775811415e+002
6.30957344480196e+007	-4.55118113129202e+001  -1.74183167806742e+002
7.94328234724286e+007	-4.95005347299939e+001  -1.75383402425641e+002
1.00000000000001e+008	-5.34934062080241e+001  -1.76340107682925e+002
1.25892541179417e+008	-5.74889029571001e+001  -1.77103077150832e+002
1.58489319246112e+008	-6.14860593036511e+001  -1.77712360795449e+002
1.99526231496889e+008	-6.54842639796788e+001  -1.78200113291214e+002
2.51188643150959e+008	-6.94831304746840e+001  -1.78592162704576e+002
3.16227766016840e+008	-7.34824145239247e+001  -1.78909313581427e+002
3.98107170553499e+008	-7.74819617495449e+001  -1.79168418493630e+002
5.01187233627275e+008	-8.14816744838710e+001  -1.79383257236013e+002
6.30957344480197e+008	-8.54814907459051e+001  -1.79565261485567e+002
7.94328234724286e+008	-8.94813708858410e+001  -1.79724118982084e+002
1.00000000000000e+009	-9.34812890358491e+001  -1.79868287128305e+002
