Freq.	Vvf3
1.99526231496888e+003	6.84830489445772e+000  1.79886623160479e+002
2.51188643150959e+003	6.84829846265083e+000  1.79857267069002e+002
3.16227766016839e+003	6.84828826894162e+000  1.79820309992583e+002
3.98107170553498e+003	6.84827211304575e+000  1.79773783895944e+002
5.01187233627273e+003	6.84824650778813e+000  1.79715211222090e+002
6.30957344480195e+003	6.84820592647035e+000  1.79641473016567e+002
7.94328234724283e+003	6.84814161012116e+000  1.79548642957854e+002
1.00000000000000e+004	6.84803967734826e+000  1.79431778518003e+002
1.25892541179417e+004	6.84787812923898e+000  1.79284658256905e+002
1.58489319246112e+004	6.84762210391377e+000  1.79099451509177e+002
1.99526231496889e+004	6.84721635918183e+000  1.78866303369888e+002
2.51188643150959e+004	6.84657336759622e+000  1.78572813868189e+002
3.16227766016839e+004	6.84555447158859e+000  1.78203385565777e+002
3.98107170553498e+004	6.84394007458225e+000  1.77738408765777e+002
5.01187233627274e+004	6.84138254304607e+000  1.77153248753894e+002
6.30957344480195e+004	6.83733192685599e+000  1.76416996646300e+002
7.94328234724284e+004	6.83091914812002e+000  1.75490948010810e+002
1.00000000000000e+005	6.82077314762383e+000  1.74326788680089e+002
1.25892541179417e+005	6.80473674279632e+000  1.72864509254725e+002
1.58489319246112e+005	6.77943025872997e+000  1.71030165212208e+002
1.99526231496889e+005	6.73959402019901e+000  1.68733794673469e+002
2.51188643150959e+005	6.67712810705155e+000  1.65868172785630e+002
3.16227766016839e+005	6.57976179581942e+000  1.62309705689789e+002
3.98107170553499e+005	6.42937375615843e+000  1.57923668108721e+002
5.01187233627274e+005	6.20022980751123e+000  1.52576878231299e+002
6.30957344480196e+005	5.85788727423269e+000  1.46160698251976e+002
7.94328234724285e+005	5.36013739743104e+000  1.38623696334006e+002
1.00000000000000e+006	4.66151776954030e+000  1.30004376537583e+002
1.25892541179417e+006	3.72151019427868e+000  1.20443629662000e+002
1.58489319246112e+006	2.51332150706472e+000  1.10157950707507e+002
1.99526231496889e+006	1.02793917254265e+000  9.93801350160442e+001
2.51188643150959e+006	-7.29053208129809e-001  8.83067202344325e+001
3.16227766016839e+006	-2.74392563031227e+000  7.70917917339509e+001
3.98107170553499e+006	-4.99713300175052e+000  6.58880962164779e+001
5.01187233627275e+006	-7.45751529037801e+000  5.48968029586269e+001
6.30957344480196e+006	-1.00715243199575e+001  4.43825570676929e+001
7.94328234724285e+006	-1.27557977189422e+001  3.46431995123035e+001
1.00000000000000e+007	-1.54003202758669e+001  2.59612168689093e+001
1.25892541179417e+007	-1.78834143292706e+001  1.85652872324214e+001
1.58489319246112e+007	-2.00941713463455e+001  1.25998817669439e+001
1.99526231496889e+007	-2.19549035069248e+001  8.09025692908962e+000
2.51188643150959e+007	-2.34352291578407e+001  4.91872757958913e+000
3.16227766016839e+007	-2.45520024721575e+001  2.84620779182453e+000
3.98107170553499e+007	-2.53560514971622e+001  1.58041556327253e+000
5.01187233627275e+007	-2.59132041145368e+001  8.49975691498080e-001
6.30957344480196e+007	-2.62881019527710e+001  4.46612656085383e-001
7.94328234724286e+007	-2.65350471555889e+001  2.30896527117427e-001
1.00000000000001e+008	-2.66953210739123e+001  1.18077281090128e-001
1.25892541179417e+008	-2.67983126611440e+001  5.99518912768942e-002
1.58489319246112e+008	-2.68640625809025e+001  3.02993362811824e-002
1.99526231496889e+008	-2.69058594400168e+001  1.52684536947745e-002
2.51188643150959e+008	-2.69323570886439e+001  7.68033168012375e-003
3.16227766016840e+008	-2.69491263955125e+001  3.85942336834867e-003
3.98107170553499e+008	-2.69597272906929e+001  1.93849996637137e-003
5.01187233627275e+008	-2.69664240628557e+001  9.73670585133698e-004
6.30957344480197e+008	-2.69706526556738e+001  4.89287082753599e-004
7.94328234724286e+008	-2.69733219990652e+001  2.46130997382624e-004
1.00000000000000e+009	-2.69750067515598e+001  1.24038960518382e-004
