Freq.	Vvf1
5.01187233627274e+005	5.73000566534019e-003  -8.36722485080091e+000
6.30957344480196e+005	8.72922139468393e-003  -1.05596122335063e+001
7.94328234724285e+005	1.27034501680045e-002  -1.33450147936067e+001
1.00000000000000e+006	1.70394534677821e-002  -1.69012428812224e+001
1.25892541179417e+006	1.89676593347052e-002  -2.14740400185608e+001
1.58489319246112e+006	9.60072667899576e-003  -2.74109815371285e+001
1.99526231496889e+006	-3.61518186260172e-002  -3.52065711500650e+001
2.51188643150959e+006	-1.83227432635298e-001  -4.55298778197936e+001
3.16227766016839e+006	-5.81671002167055e-001  -5.91046606036285e+001
3.98107170553499e+006	-1.50954542702239e+000  -7.61285637610732e+001
5.01187233627275e+006	-3.28849290061251e+000  -9.52187577517129e+001
6.30957344480196e+006	-6.00335101403047e+000  -1.13484467533222e+002
7.94328234724285e+006	-9.40399563033051e+000  -1.28687474239519e+002
1.00000000000000e+007	-1.31675607664184e+001  -1.40422553911282e+002
1.25892541179417e+007	-1.70872379987807e+001  -1.49285172814804e+002
1.58489319246112e+007	-2.10659349009207e+001  -1.56003085787944e+002
1.99526231496889e+007	-2.50644225567905e+001  -1.61151369654923e+002
2.51188643150959e+007	-2.90682304256270e+001  -1.65139174445220e+002
3.16227766016839e+007	-3.30725247426475e+001  -1.68253968372729e+002
3.98107170553499e+007	-3.70759851774280e+001  -1.70701422502667e+002
5.01187233627275e+007	-4.10784667655032e+001  -1.72632455858051e+002
6.30957344480196e+007	-4.50801510390360e+001  -1.74160411240312e+002
7.94328234724286e+007	-4.90812608519815e+001  -1.75371983294539e+002
1.00000000000001e+008	-5.30819798222965e+001  -1.76334379918773e+002
1.25892541179417e+008	-5.70824408920126e+001  -1.77100204750298e+002
1.58489319246112e+008	-6.10827347314163e+001  -1.77710920395021e+002
1.99526231496889e+008	-6.50829212432610e+001  -1.78199390875849e+002
2.51188643150959e+008	-6.90830392841829e+001  -1.78591800203194e+002
3.16227766016840e+008	-7.30831137753007e+001  -1.78909131452828e+002
3.98107170553499e+008	-7.70831605734082e+001  -1.79168326716946e+002
5.01187233627275e+008	-8.10831896914643e+001  -1.79383210672992e+002
6.30957344480197e+008	-8.50832073794053e+001  -1.79565237504412e+002
7.94328234724286e+008	-8.90832174411515e+001  -1.79724106250901e+002
1.00000000000000e+009	-9.30832220429155e+001  -1.79868280020941e+002
